C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: multiply mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  16700 | loss 0.0000/14.6807 | acc 1.000/0.288 | pre
Ep  16800 | loss 0.0000/14.7365 | acc 1.000/0.288 | pre
Ep  16900 | loss 0.0000/14.5963 | acc 1.000/0.289 | pre
Ep  17000 | loss 0.0000/14.3366 | acc 1.000/0.290 | pre
Ep  17100 | loss 0.0005/11.5951 | acc 1.000/0.278 | pre
Ep  17200 | loss 0.0029/6.9205 | acc 1.000/0.293 | pre
Ep  17300 | loss 0.0041/6.3455 | acc 1.000/0.297 | pre
Ep  17400 | loss 0.0016/6.8008 | acc 1.000/0.303 | pre
Ep  17500 | loss 0.0006/7.3004 | acc 1.000/0.306 | pre
Ep  17600 | loss 0.0002/7.7956 | acc 1.000/0.310 | pre
Ep  17700 | loss 0.0001/8.2618 | acc 1.000/0.313 | pre
Ep  17800 | loss 0.0000/8.6870 | acc 1.000/0.318 | pre
Ep  17900 | loss 0.0000/9.0587 | acc 1.000/0.322 | pre
Ep  18000 | loss 0.0000/9.3515 | acc 1.000/0.326 | pre
Ep  18100 | loss 0.0000/9.5286 | acc 1.000/0.331 | pre
Ep  18200 | loss 0.0000/9.5770 | acc 1.000/0.336 | pre
Ep  18300 | loss 0.0000/9.4858 | acc 1.000/0.341 | pre
Ep  18400 | loss 0.0000/9.3003 | acc 1.000/0.347 | pre
Ep  18500 | loss 0.0000/8.9885 | acc 1.000/0.352 | pre
Ep  18600 | loss 0.0008/7.5533 | acc 1.000/0.349 | pre
Ep  18700 | loss 0.0024/4.2466 | acc 1.000/0.366 | pre
Ep  18800 | loss 0.0036/3.7831 | acc 1.000/0.375 | pre
Ep  18900 | loss 0.0014/3.9026 | acc 1.000/0.389 | pre
Ep  19000 | loss 0.0005/4.0337 | acc 1.000/0.405 | pre
Ep  19100 | loss 0.0002/4.1391 | acc 1.000/0.420 | transition
Ep  19200 | loss 0.0001/4.2002 | acc 1.000/0.440 | transition
Ep  19300 | loss 0.0000/4.2181 | acc 1.000/0.456 | transition
Ep  19400 | loss 0.0000/4.1766 | acc 1.000/0.477 | transition
Ep  19500 | loss 0.0000/4.0716 | acc 1.000/0.501 | transition
Ep  19600 | loss 0.0000/3.8916 | acc 1.000/0.527 | transition
Ep  19700 | loss 0.0000/3.6297 | acc 1.000/0.559 | transition
Ep  19800 | loss 0.0000/3.3245 | acc 1.000/0.581 | transition
Ep  19900 | loss 0.0000/3.0071 | acc 1.000/0.610 | transition
Ep  20000 | loss 0.0000/2.6799 | acc 1.000/0.641 | transition
Ep  20100 | loss 0.0019/2.6371 | acc 1.000/0.627 | transition
Ep  20200 | loss 0.0012/1.2068 | acc 1.000/0.690 | transition
Ep  20300 | loss 0.0023/1.0255 | acc 1.000/0.708 | transition
Ep  20400 | loss 0.0009/0.8789 | acc 1.000/0.755 | transition
Ep  20500 | loss 0.0003/0.7144 | acc 1.000/0.803 | transition
Ep  20600 | loss 0.0001/0.5415 | acc 1.000/0.852 | transition
Ep  20700 | loss 0.0000/0.3799 | acc 1.000/0.899 | transition
Ep  20800 | loss 0.0000/0.2456 | acc 1.000/0.932 | transition
Ep  20900 | loss 0.0000/0.1462 | acc 1.000/0.962 | transition
Ep  21000 | loss 0.0000/0.0786 | acc 1.000/0.977 | transition
Ep  21100 | loss 0.0000/0.0361 | acc 1.000/0.989 | transition
Ep  21200 | loss 0.0000/0.0151 | acc 1.000/0.996 | post
Ep  21300 | loss 0.0000/0.0074 | acc 1.000/0.998 | post
Ep  21400 | loss 0.0000/0.0048 | acc 1.000/0.999 | post
Ep  21500 | loss 0.0001/0.0071 | acc 1.000/0.998 | post
Ep  21600 | loss 0.0005/0.0049 | acc 1.000/0.999 | post
Grokking complete — stopping early.

Results saved to results\tfm_multiply/
Final test accuracy: 0.9993
Grokking onset (test_acc >= 0.95): epoch 20900
