Task: multiply mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  18200 | loss 0.0000/0.0321 | acc 1.000/0.990 | post
Ep  18300 | loss 0.0000/0.0274 | acc 1.000/0.992 | post
Ep  18400 | loss 0.0000/0.0233 | acc 1.000/0.993 | post
Ep  18500 | loss 0.0000/0.0198 | acc 1.000/0.994 | post
Ep  18600 | loss 0.0000/0.0168 | acc 1.000/0.996 | post
Ep  18700 | loss 0.0000/0.0140 | acc 1.000/0.996 | post
Ep  18800 | loss 0.0000/0.0116 | acc 1.000/0.997 | post
Ep  18900 | loss 0.0000/0.0096 | acc 1.000/0.998 | post
Ep  19000 | loss 0.0000/0.0080 | acc 1.000/0.999 | post
Ep  19100 | loss 0.0000/0.0066 | acc 1.000/0.999 | post
Ep  19200 | loss 0.0000/0.0054 | acc 1.000/0.999 | post
Grokking complete — stopping early.

Results saved to results\mlp_multiply/
Final test accuracy: 0.9993
Grokking onset (test_acc >= 0.95): epoch 17100
