C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: add mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  12100 | loss 0.0023/8.4800 | acc 1.000/0.287 | pre
Ep  12200 | loss 0.0009/9.2218 | acc 1.000/0.289 | pre
Ep  12300 | loss 0.0003/9.9624 | acc 1.000/0.291 | pre
Ep  12400 | loss 0.0001/10.6726 | acc 1.000/0.292 | pre
Ep  12500 | loss 0.0000/11.3337 | acc 1.000/0.293 | pre
Ep  12600 | loss 0.0000/11.9350 | acc 1.000/0.295 | pre
Ep  12700 | loss 0.0000/12.4313 | acc 1.000/0.297 | pre
Ep  12800 | loss 0.0000/12.7948 | acc 1.000/0.299 | pre
Ep  12900 | loss 0.0000/12.9826 | acc 1.000/0.302 | pre
Ep  13000 | loss 0.0000/12.9699 | acc 1.000/0.305 | pre
Ep  13100 | loss 0.0000/12.7770 | acc 1.000/0.308 | pre
Ep  13200 | loss 0.0000/12.4681 | acc 1.000/0.310 | pre
Ep  13300 | loss 0.0012/10.9556 | acc 1.000/0.306 | pre
Ep  13400 | loss 0.0021/6.1612 | acc 1.000/0.318 | pre
Ep  13500 | loss 0.0039/5.3291 | acc 1.000/0.323 | pre
Ep  13600 | loss 0.0015/5.5087 | acc 1.000/0.332 | pre
Ep  13700 | loss 0.0006/5.6478 | acc 1.000/0.344 | pre
Ep  13800 | loss 0.0002/5.6766 | acc 1.000/0.362 | pre
Ep  13900 | loss 0.0001/5.5588 | acc 1.000/0.384 | transition
Ep  14000 | loss 0.0000/5.2735 | acc 1.000/0.408 | transition
Ep  14100 | loss 0.0000/4.7852 | acc 1.000/0.443 | transition
Ep  14200 | loss 0.0000/4.0757 | acc 1.000/0.499 | transition
Ep  14300 | loss 0.0000/3.1952 | acc 1.000/0.574 | transition
Ep  14400 | loss 0.0000/2.2338 | acc 1.000/0.661 | transition
Ep  14500 | loss 0.0000/1.4111 | acc 1.000/0.753 | transition
Ep  14600 | loss 0.0000/0.8510 | acc 1.000/0.829 | transition
