C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: x2xyy2 mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  25800 | loss 0.0000/22.8925 | acc 1.000/0.208 | pre
Ep  25900 | loss 0.0180/22.7555 | acc 0.996/0.169 | pre
Ep  26000 | loss 0.0016/12.5672 | acc 1.000/0.207 | pre
Ep  26100 | loss 0.0045/10.5132 | acc 1.000/0.210 | pre
Ep  26200 | loss 0.0018/11.6872 | acc 1.000/0.210 | pre
Ep  26300 | loss 0.0007/12.9942 | acc 1.000/0.212 | pre
Ep  26400 | loss 0.0002/14.3422 | acc 1.000/0.211 | pre
Ep  26500 | loss 0.0001/15.7055 | acc 1.000/0.212 | pre
Ep  26600 | loss 0.0000/17.0692 | acc 1.000/0.211 | pre
Ep  26700 | loss 0.0000/18.4115 | acc 1.000/0.210 | pre
Ep  26800 | loss 0.0000/19.6898 | acc 1.000/0.210 | pre
Ep  26900 | loss 0.0000/20.8524 | acc 1.000/0.209 | pre
Ep  27000 | loss 0.0000/21.7927 | acc 1.000/0.208 | pre
Ep  27100 | loss 0.0000/22.4056 | acc 1.000/0.206 | pre
Ep  27200 | loss 0.0000/22.6959 | acc 1.000/0.204 | pre
Ep  27300 | loss 0.0000/22.5697 | acc 1.000/0.201 | pre
Ep  27400 | loss 0.0005/16.8985 | acc 1.000/0.192 | pre
Ep  27500 | loss 0.0068/10.1590 | acc 1.000/0.205 | pre
Ep  27600 | loss 0.0081/9.7693 | acc 1.000/0.209 | pre
Ep  27700 | loss 0.0032/10.9403 | acc 1.000/0.206 | pre
Ep  27800 | loss 0.0012/12.2118 | acc 1.000/0.207 | pre
Ep  27900 | loss 0.0004/13.5328 | acc 1.000/0.206 | pre
Ep  28000 | loss 0.0002/14.8756 | acc 1.000/0.207 | pre
Ep  28100 | loss 0.0001/16.2237 | acc 1.000/0.207 | pre
Ep  28200 | loss 0.0000/17.5628 | acc 1.000/0.206 | pre
Ep  28300 | loss 0.0000/18.8633 | acc 1.000/0.205 | pre
Ep  28400 | loss 0.0000/20.0786 | acc 1.000/0.205 | pre
Ep  28500 | loss 0.0000/21.1446 | acc 1.000/0.205 | pre
Ep  28600 | loss 0.0000/21.9511 | acc 1.000/0.203 | pre
Ep  28700 | loss 0.0000/22.4553 | acc 1.000/0.202 | pre
Ep  28800 | loss 0.0000/22.6303 | acc 1.000/0.199 | pre
Ep  28900 | loss 0.0012/20.1048 | acc 1.000/0.180 | pre
Ep  29000 | loss 0.0025/11.5656 | acc 1.000/0.200 | pre
Ep  29100 | loss 0.0041/10.5483 | acc 1.000/0.204 | pre
Ep  29200 | loss 0.0016/11.7779 | acc 1.000/0.204 | pre
Ep  29300 | loss 0.0006/13.1037 | acc 1.000/0.205 | pre
Ep  29400 | loss 0.0002/14.4635 | acc 1.000/0.206 | pre
Ep  29500 | loss 0.0001/15.8380 | acc 1.000/0.206 | pre
Ep  29600 | loss 0.0000/17.2075 | acc 1.000/0.205 | pre
Ep  29700 | loss 0.0000/18.5526 | acc 1.000/0.205 | pre
Ep  29800 | loss 0.0000/19.8359 | acc 1.000/0.205 | pre
Ep  29900 | loss 0.0000/20.9922 | acc 1.000/0.205 | pre
Ep  30000 | loss 0.0000/21.9122 | acc 1.000/0.204 | pre
Ep  30100 | loss 0.0000/22.5028 | acc 1.000/0.203 | pre
Ep  30200 | loss 0.0000/22.7321 | acc 1.000/0.201 | pre
Ep  30300 | loss 0.0000/22.6493 | acc 1.000/0.197 | pre
Ep  30400 | loss 0.0007/16.0803 | acc 1.000/0.194 | pre
Ep  30500 | loss 0.0093/9.7896 | acc 1.000/0.205 | pre
Ep  30600 | loss 0.0104/9.4717 | acc 1.000/0.205 | pre
Ep  30700 | loss 0.0041/10.5906 | acc 1.000/0.206 | pre
Ep  30800 | loss 0.0015/11.8108 | acc 1.000/0.207 | pre
Ep  30900 | loss 0.0006/13.0800 | acc 1.000/0.207 | pre
Ep  31000 | loss 0.0002/14.3736 | acc 1.000/0.207 | pre
Ep  31100 | loss 0.0001/15.6784 | acc 1.000/0.207 | pre
Ep  31200 | loss 0.0000/16.9820 | acc 1.000/0.208 | pre
Ep  31300 | loss 0.0000/18.2623 | acc 1.000/0.208 | pre
Ep  31400 | loss 0.0000/19.4742 | acc 1.000/0.207 | pre
